indicators,thresholds
rides_requested,0.02184647570167041
rides_canceled,0.006858171747541371
rides_not_served,0.009525928664952419
rides_accepted,0.01396853310599282
rides_rejections,0.011370120848653036
rides_in_progress,0.10038684371901915
idle_drivers,0.056470957501721215
responding_drivers,0.024327392350195362
pickup_drivers,0.057893120374248444
on_road_drivers,0.10427076084209595
moving_drivers,0.016385055386895473
active_customers,0.024386546971276533
pending_customers,0.022731443212923513
avg_rejections_before_accepted,6.581494682381396e-05
avg_surge_multiplier,1.3114749942315632e-05
avg_expected_price,0.0005875436216189098
avg_real_price,0.0008885759999616168
avg_diff_price,0.0008348395701711682
avg_actual_expected_price,0.00046657105869861925
avg_actual_price,0.0004222849316701335
avg_actual_expected_price_30min,0.0005423335674290844
avg_actual_price_30min,0.0007662155997806598
avg_actual_expected_price_60min,0.0025941476873162822
avg_actual_price_60min,0.0024100548275085487
avg_current_error_ride_distance,0.0005758390640500578
avg_speed_max_speed,0.00021650002969286072
avg_speed_kmh,0.013026025421755162
avg_diff_duration_min,0.002096555224777739
avg_expected_ride_time_min,0.0006509185099873509
avg_expected_meeting_time_min,0.0008006357147589882
avg_expected_total_time_min,0.0009042173943929442
avg_ride_time_min,0.0018019639246544717
avg_meeting_time_min,0.0008815774321095437
avg_total_time_min,0.0023288881669529344
avg_ride_length_km,0.0003415599222113075
avg_meeting_length_km,0.00030112954073209595
avg_total_length_km,0.0004642871687578319
avg_distance_per_timestamp_km,4.2887094972888144e-07
avg_remaining_distance_covered,4.396295313206915e-06
